simulation_id,node_id,x_position_m,y_position_m,height_m,role,hop_limit,antenna_gain_dbi,message_period_ms,messages_created,packets_sent,rebroadcast_packets,packets_sensed,packets_detected,packets_received,collisions,useful_packets,packets_dropped_by_delay,tx_airtime_ms,direct_neighbor_count,is_moving,gps_enabled
29,4,429.5709767424483,-158.29703999978136,1.0,CLIENT,7,2,100000,18,38,0,206,248,195,11,64,79,39612.41600000002,4,False,False

30,0,-961.0888181495534,679.2746399998327,1.0,CLIENT,7,2,100000,16,74,0,78,85,78,0,59,3,77139.96800000004,4,False,False
30,1,96.95645870009113,-851.9319600005338,1.0,CLIENT,7,2,100000,17,68,0,33,84,33,0,27,0,70885.37600000003,4,False,False
30,2,-299.6619961314983,377.2634799998366,1.0,CLIENT,7,2,100000,15,78,0,189,254,149,40,62,71,81309.69600000004,4,False,False
30,3,889.4012404330209,776.4569999996735,1.0,CLIENT,7,2,100000,16,68,0,101,132,101,0,62,25,70885.37600000003,4,False,False
30,4,753.7889387212379,658.3464799996759,1.0,CLIENT,7,2,100000,18,57,0,137,161,137,0,60,48,59418.62400000003,4,False,False

31,0,875.3013632691831,891.7845199995787,1.0,CLIENT,7,2,100000,16,47,0,92,94,90,2,52,22,48994.304000000026,3,False,False
31,1,322.3168549446157,194.36471999968148,1.0,CLIENT,7,2,100000,17,25,0,115,132,115,0,51,47,26060.80000000001,4,False,False
31,2,-844.1707355985163,-821.9868800002041,1.0,CLIENT,7,2,100000,12,51,0,3,19,3,0,3,0,53164.03200000003,3,False,False
31,3,-129.67134223294462,815.0850400002281,1.0,CLIENT,7,2,100000,17,40,0,99,104,99,0,51,30,41697.28000000002,4,False,False
31,4,454.83985772769546,22.709279999614864,1.0,CLIENT,7,2,100000,18,29,0,112,132,111,1,50,39,30230.528000000013,4,False,False

32,0,330.39655983619616,686.6217599994754,1.0,CLIENT,7,2,100000,16,56,0,120,157,120,0,66,37,58376.19200000003,4,False,False
32,1,157.79188376720126,166.3120800001107,1.0,CLIENT,7,2,100000,17,33,0,188,189,182,6,65,64,34400.256000000016,4,False,False
32,2,218.70652162716743,-646.1012800005349,1.0,CLIENT,7,2,100000,15,57,0,123,161,123,0,67,38,59418.62400000003,4,False,False
32,3,261.79828105005555,407.43119999960413,1.0,CLIENT,7,2,100000,16,30,0,189,192,184,5,66,76,31272.960000000014,4,False,False
32,4,743.8081267960464,-193.69679999978587,1.0,CLIENT,7,2,100000,18,46,0,173,176,171,2,64,53,47951.872000000025,4,False,False

33,0,598.7695027101901,816.3095599995095,1.0,CLIENT,7,2,100000,16,76,0,82,135,82,0,62,8,79224.83200000004,4,False,False
33,1,733.9857404571299,-48.09024000039415,1.0,CLIENT,7,2,100000,17,61,0,170,204,154,16,65,60,63588.352000000035,4,False,False
33,2,-864.4492106208863,503.38904000016356,1.0,CLIENT,7,2,100000,15,61,0,50,153,50,0,39,3,63588.352000000035,4,False,False
33,3,67.88536364874757,-373.36728000018184,1.0,CLIENT,7,2,100000,17,54,0,194,257,176,18,66,71,56291.32800000003,4,False,False
33,4,-302.67208226734556,-704.9895599997689,1.0,CLIENT,7,2,100000,18,69,0,105,162,103,2,62,20,71927.80800000003,4,False,False

34,0,158.10873493975117,273.9585199996344,1.0,CLIENT,7,2,100000,16,45,0,235,239,198,37,67,83,46909.440000000024,4,False,False
34,1,688.6760228292065,-646.1012800005349,1.0,CLIENT,7,2,100000,17,66,0,103,141,103,0,60,26,68800.51200000003,4,False,False
34,2,-394.63813500568517,198.03827999989835,1.0,CLIENT,7,2,100000,15,48,0,178,226,169,9,68,66,50036.736000000026,4,False,False
34,3,85.54981650011352,984.7367199998168,1.0,CLIENT,7,2,100000,17,71,0,98,135,97,1,64,16,74012.67200000004,4,False,False
34,4,-422.0457614031116,-325.9449600004743,1.0,CLIENT,7,2,100000,18,54,0,160,203,152,8,65,58,56291.32800000003,4,False,False

35,0,-495.8720845312605,-21.262120000104687,1.0,CLIENT,7,2,100000,16,55,0,216,217,164,52,66,68,57333.76000000003,4,False,False
