number_of_nodes,number_of_nodes,number_of_nodes,number_of_nodes,timestamp,number_of_packets,simulation_time_ms,message_period_ms,path_loss_model,messages_created,packets_sent,potential_receivers,packets_sensed,packets_received,useful_receptions,duplicate_packets,collisions,packets_dropped_delay_or_hop_limit,mean_delay_ms,tx_air_utilization_rate,collision_rate,node_reach,usefulness,no_link_rate,total_directed_links,available_directed_links,unavailable_directed_links,transmissions_per_message,successful_decode_rate,average_nodes_reached_per_message
22,22,22,22,1785781465.7656991,1597,1800000,100000,6,286,1597,33537,30302,19480,4883,14597,32,13636,119019.34302348405,0.027087437575757593,0.0010560359052207775,0.813020313020313,0.25066735112936345,0.0,380,380,0,5.583916083916084,0.6428618573031483,17.073426573426573
22,22,22,22,1785781477.168014,1738,1800000,100000,6,283,1738,36498,33019,18864,4636,14228,0,13453,145693.54582934084,0.026166096161616175,0.0,0.7800774019855292,0.24575911789652247,0.0,380,380,0,6.141342756183746,0.5713074290559981,16.381625441696112
22,22,22,22,1785781489.402876,1501,1800000,100000,6,278,1501,31521,28409,20018,4902,15116,65,13914,104441.9118684683,0.027956130909090923,0.002288007321623429,0.8396711202466598,0.24487960835248276,0.0,380,380,0,5.399280575539568,0.7046358548347355,17.633093525179856
22,22,22,22,1785781500.8377879,1582,1800000,100000,6,288,1582,33222,29955,19241,4995,14246,26,13051,102408.53388110735,0.026850521212121226,0.0008679686195960608,0.8258928571428571,0.2596018917935658,0.0,380,380,0,5.493055555555555,0.642330161909531,17.34375
22,22,22,22,1785781513.3561118,1651,1800000,100000,6,283,1651,34671,31365,19091,4864,14227,20,13460,123202.77383891137,0.0265083086868687,0.000637653435357883,0.8184418643782602,0.2547797391440993,0.0,380,380,0,5.833922261484099,0.6086720867208673,17.187279151943464
22,22,22,22,1785781529.41905,1738,1800000,100000,6,283,1738,36498,32893,20141,4845,15296,126,14370,124050.92067204461,0.028272019393939408,0.003830602255799106,0.8152448258455326,0.24055409363983912,0.0,380,380,0,6.141342756183746,0.6123187304289667,17.120141342756185
22,22,22,22,1785781546.828481,1668,1800000,100000,6,286,1668,35028,31676,19212,4674,14538,0,13555,142945.47173996211,0.026666252929292943,0.0,0.7782217782217782,0.24328544659587759,0.0,380,380,0,5.8321678321678325,0.6065159742391716,16.342657342657343
22,22,22,22,1785781560.505701,1590,1800000,100000,6,287,1590,33390,30189,19345,4940,14405,0,13475,112264.45644954155,0.026850521212121226,0.0,0.819644931143189,0.25536314293098994,0.0,380,380,0,5.54006968641115,0.6407963165391368,17.21254355400697
22,22,22,22,1785781574.535038,1597,1800000,100000,6,286,1597,33537,30221,19308,4920,14388,48,13345,109750.11267178276,0.02700846545454547,0.0015882995268190992,0.8191808191808192,0.254816656308266,0.0,380,380,0,5.583916083916084,0.6388934846629827,17.202797202797203
22,22,22,22,1785781588.804684,1548,1800000,100000,6,285,1548,32508,29279,19870,5149,14721,96,13422,87834.36735406371,0.02785083474747476,0.0032788005054817447,0.8603174603174604,0.2591343734272773,0.0,380,380,0,5.431578947368421,0.6786433962908569,18.066666666666666
