timestamp,packetID,nodeID,rssi,snr,latency,deliveryRate
1779818946.788144,1478033472,!dadfb03c,-107,5.0,2.622,97.22222222222221
1779818951.833921,3108851777,!dadfb03c,-104,4.75,2.564,97.2972972972973
1779818956.935529,2179188802,!dadfb03c,-104,4.5,2.562,97.36842105263158
1779818962.1846569,1109826627,!dadfb03c,-110,2.5,2.707,97.43589743589743
1779818972.3850381,2570043461,!dadfb03c,-111,3.5,2.7,95.1219512195122
1779818977.5303628,2444450886,!dadfb03c,-110,2.25,2.741,95.23809523809523
1779818982.585589,4048756807,!dadfb03c,-98,5.75,2.692,95.34883720930233
1779818987.63299,1152494664,!dadfb03c,-101,5.0,2.635,95.45454545454545
1779818992.73314,2047358025,!dadfb03c,-94,5.75,2.631,95.55555555555556
1779818997.8359418,1164888138,!dadfb03c,-94,5.5,2.63,95.65217391304348
1779819002.933262,1807653963,!dadfb03c,-85,6.5,2.623,95.74468085106383
1779819007.93847,3250621516,!dadfb03c,-93,5.75,2.525,95.83333333333334
1779819012.9856331,474793037,!dadfb03c,-88,6.0,2.468,95.91836734693877
1779819018.2817779,2414485582,!dadfb03c,-92,5.5,2.66,96.0
1779819023.337742,2708376655,!dadfb03c,-98,2.75,2.612,96.07843137254902
1779819028.4359848,2088728656,!dadfb03c,-100,3.0,2.606,96.15384615384616
1779819033.585697,2353184849,!dadfb03c,-103,5.25,2.652,96.22641509433963
1779819038.636638,2418409554,!dadfb03c,-92,5.25,2.599,96.29629629629629
1779819043.786311,1250011219,!dadfb03c,-93,4.75,2.645,96.36363636363636
1779819048.937588,1348506708,!dadfb03c,-83,6.25,2.692,96.42857142857143
1779819053.986934,3094149205,!dadfb03c,-96,5.5,2.638,96.49122807017544
1779819059.088937,4205105238,!dadfb03c,-89,6.0,2.636,96.55172413793103
1779819064.236166,2869005399,!dadfb03c,-77,6.0,2.679,96.61016949152543
1779819069.235899,1883818072,!dadfb03c,-82,6.0,2.575,96.66666666666667
1779819074.335232,2922954841,!dadfb03c,-92,5.75,2.57,96.72131147540983
1779819079.485566,1919687770,!dadfb03c,-87,5.75,2.617,96.7741935483871
1779819084.5879989,1143410779,!dadfb03c,-90,5.5,2.616,96.82539682539682
1779819089.7355049,3848410204,!dadfb03c,-93,6.0,2.659,96.875
1779819094.8348532,2525434973,!dadfb03c,-95,5.5,2.655,96.92307692307692
1779819099.8853781,4210110558,!dadfb03c,-82,6.0,2.601,96.96969696969697
1779819105.035962,391666783,!dadfb03c,-88,5.25,2.648,97.01492537313433
1779819110.0859,290448480,!dadfb03c,-100,3.75,2.594,97.05882352941177
1779819115.137731,3815611489,!dadfb03c,-92,5.25,2.541,97.10144927536231
1779819120.285954,2314297442,!dadfb03c,-86,6.0,2.586,97.14285714285714
1779819125.486725,122342499,!dadfb03c,-93,5.25,2.682,97.1830985915493
1779819130.486985,3749453924,!dadfb03c,-91,6.0,2.579,97.22222222222221
1779819135.6957061,3002362981,!dadfb03c,-92,5.0,2.683,97.26027397260275
1779819140.689125,1105483878,!dadfb03c,-91,5.25,2.573,97.2972972972973
1779819145.936346,1230881895,!dadfb03c,-97,6.0,2.716,97.33333333333334
1779819156.089128,3517913193,!dadfb03c,-108,3.75,2.661,96.1038961038961
1779819161.087517,3894606954,!dadfb03c,-105,4.5,2.555,96.15384615384616
1779819166.23649,413407339,!dadfb03c,-112,3.0,2.6,96.20253164556962
1779819171.387321,2368938092,!dadfb03c,-105,3.75,2.647,96.25
1779819176.387978,3811543149,!dadfb03c,-104,5.5,2.544,96.29629629629629
1779819191.784587,2200488048,!dadfb03c,-106,5.0,2.629,94.04761904761905
1779819196.786052,545277041,!dadfb03c,-113,,2.527,94.11764705882352
1779819202.0379431,2371884146,!dadfb03c,-106,5.25,2.674,94.18604651162791
1779819212.3372421,1374731380,!dadfb03c,-120,-1.75,2.766,93.18181818181817
1779819217.3544261,3983596661,!dadfb03c,-112,3.25,2.68,93.25842696629213
1779819222.4919522,3669715062,!dadfb03c,-114,3.5,2.713,93.33333333333333
1779819232.588234,1014074488,!dadfb03c,-121,-1.5,2.601,92.3913043478261
1779819237.739567,4000054393,!dadfb03c,-112,1.75,2.649,92.47311827956989
1779819242.738783,4069229690,!dadfb03c,-111,-9.0,2.544,92.5531914893617
1779819248.0401332,3557812347,!dadfb03c,-116,0.75,2.742,92.63157894736842
1779819252.8399858,1445774460,!dadfb03c,-112,2.25,2.438,92.70833333333334
1779819258.039912,2580372605,!dadfb03c,-117,0.75,2.534,92.78350515463917
1779819263.389413,213952638,!dadfb03c,-112,3.5,2.779,92.85714285714286
1779819268.3897479,3593826431,!dadfb03c,-110,4.25,2.676,92.92929292929293
1779819273.54035,1718819968,!dadfb03c,-107,4.25,2.722,93.0
1779819278.5397341,1302789249,!dadfb03c,-106,5.25,2.618,93.06930693069307
1779819284.18657,3883949186,!dadfb03c,-110,4.0,3.161,93.13725490196079
1779819288.689746,4052583555,!dadfb03c,-106,4.75,2.56,93.20388349514563
1779819293.785629,1345240196,!dadfb03c,-102,5.5,2.552,93.26923076923077
1779819299.0873961,1059049605,!dadfb03c,-101,5.5,2.75,93.33333333333333
1779819303.938424,1246454918,!dadfb03c,-96,6.0,2.497,93.39622641509435
1779819309.0889962,3164766343,!dadfb03c,-108,3.75,2.544,93.45794392523365
1779819314.387052,1544587400,!dadfb03c,-98,5.75,2.738,93.51851851851852
1779819319.386078,2664680585,!dadfb03c,-97,6.0,2.634,93.57798165137615
1779819324.591774,3459104906,!dadfb03c,-93,5.5,2.735,93.63636363636364
1779819329.589546,441875595,!dadfb03c,-101,6.0,2.629,93.69369369369369
1779819334.641697,178760844,!dadfb03c,-93,5.75,2.577,93.75
1779819339.835732,1125303437,!dadfb03c,-101,4.75,2.667,93.80530973451327
1779819344.891579,1456744590,!dadfb03c,-94,6.0,2.619,93.85964912280701
1779819349.940554,1856674959,!dadfb03c,-103,4.75,2.564,93.91304347826087
1779819355.0900118,2404449424,!dadfb03c,-98,5.5,2.61,93.96551724137932
1779819360.390849,3642665105,!dadfb03c,-96,5.75,2.804,94.01709401709401
