Failed LSC to McCain???,,,,,
2602575267,1784652139.8395898,,,,
732817828,1784652160.0089478,,,,
3940416933,1784652180,,,,
914858406,1784652200,,,,
914858406,1784652215.294237,-144,-19.25,,
1999735207,1784652220.5629811,,,,
2057573800,1784652240.387729,,,,
2057573800,1784652247,-143,-18.25,,
463024553,1784652268.4048839,,,,
2064839082,1784652280.9283211,,,,
2210886059,1784652300.654031,,,,
2210886059,1784652316.847618,-114,7.75,,
1618001324,1784652324,,,,
2540140973,1784652342.8685179,,,,
1828596142,1784652364.474646,,,,
2718371247,1784652383.424766,,,,
574234032,1784652402.863353,,,,
3046879665,1784652421.7756119,,,,
399714738,1784652442.5001879,,,,
399714738,1784652444.918012,-112,9.75,,
1135636915,1784652462.597125,,,,
1135636915,1784652473.371739,-113,9.25,,
3716812212,1784652483.964024,,,,
3716812212,1784652491.558818,-114,8.75,,
4222606773,1784652502.213142,,,,
4222606773,1784652518.3659708,-114,7.75,,
4204069302,1784652521.932998,-146,-20,,
3426811319,1784652556.5209851,,,,
2916483512,1784652562.336046,,,,
2152318393,1784652582.3198552,,,,
2343701946,1784652602.5032508,,,,
2343701946,1784652608.950005,-145,-18.5,,
115535291,1784652622.726378,,,,
3549717948,1784652642.7574651,,,,
1947959741,1784652662.853224,,,,
3847650750,1784652682.750438,,,,
3847650750,1784652689.4426959,-143,-17.25,,
483875263,1784652703.0191941,,,,
483875263,1784652709.653288,-145,-18.5,,
179924416,1784652724.221218,,,,
959237569,1784652743,,,,
1616314818,1784652764.0508502,,,,
391538115,1784652784.5922072,,,,
2244744644,1784652803.8666618,,,,
2382364101,1784652824.743356,,,,
4017580486,1784652843.860517,,,,
1015948743,1784652865.382064,,,,
2508930504,1784652883.885352,,,,
222807497,1784652903.964138,,,,
1880284618,1784652924.857237,,,,
1496423883,1784652944,,,,
3873813964,1784652965.236748,,,,
988127693,1784652984.4703932,,,,
,,,,,
*** SUB to McCain ***,,100,-127.4,-4.985,
,,,,,
2532723238,1784655208.898182,-128,-5.25,,
2409592359,1784655228.993057,-128,-6.25,,
2753633832,1784655249.082947,-127,-5.25,,
4049638953,1784655275.963538,-127,-3.75,,
2099102250,1784655289.527473,-125,-3.25,,
771847723,1784655309.416318,-128,-7.25,,
14458412,1784655329.6323252,-130,-7.75,,
1164038701,1784655349.705811,-129,-6.75,,
1279588910,1784655369.762366,-129,-7,,
3684164143,1784655397.495478,-129,-6,,
629643824,1784655409.9956548,-127,-5,,
4140312113,1784655430.0851572,-125,-4.25,,
851762738,1784655450.3355541,-128,-4.5,,
3475051059,1784655470.327322,-126,-3.5,,
1588189748,1784655490.411493,-126,-3.75,,
2834481717,1784655511,-126,-3,,
484079158,1784655533.242775,-124,-3.25,,
2359202359,1784655550.6404538,-125,-2.75,,
293952056,1784655571,-125,-3.5,,
2268300857,1784655591.129378,-125,-4.25,,
2638329402,1784655611.001882,-125,-3.25,,
1419176507,1784655631.4438999,-125,-3,,
1033063996,1784655651.328724,-127,-5,,
3460720189,1784655671.3746402,-128,-4.75,,
3551053374,1784655691.682831,-126,-3.5,,
3853699647,1784655711.745308,-125,-3.5,,
700891712,1784655731.883811,-126,-3.25,,
1010633281,1784655751.835231,-129,-5,,
2037029442,1784655771.980397,-130,-7.75,,
1500572227,1784655792.0896242,-129,-6.5,,
1170475588,1784655812.118706,-130,-7,,
2841889349,1784655832.840823,-128,-5,,
3844272710,1784655852.4607801,-128,-6.25,,
3304550983,1784655874.527974,-126,-3.75,,
3160427080,1784655892.7274508,-130,-6.75,,
1762700873,1784655912.8216882,-127,-3.75,,
1555200586,1784655932.757306,-124,-3.25,,
1820128843,1784655953.004686,-128,-5.25,,
1115816524,1784655973.0383701,-129,-5.75,,
792739405,1784655993,-128,-4.75,,
805750350,1784656013,-126,-3.5,,
609177167,1784656033.282967,-129,-6.75,,
491266640,1784656053.514463,-129,-5.75,,
2151851601,1784656074,-127,-5,,
2636780114,1784656093.818086,-129,-5.5,,
4122332755,1784656113.864306,-128,-6,,
2077588052,1784656133.8376489,-129,-5.75,,
2805063253,1784656154.079259,-132,-8.5,,
3039664726,1784656174,-127,-3.75,,
307202647,1784656194.206769,-129,-5.5,,
,,,,,
*** Rowe to McCain ***,,6,-143.6666667,-18.25,
,,,,,
2341822518,1784658039.478793,-144,-18.5,,
2364075078,1784658376.718268,-144,-18.5,,
2541417544,1784658393.675916,-143,-17.75,,
