number_of_nodes,timestamp,number_of_packets,simulation_time_ms,message_period_ms,path_loss_model,messages_created,packets_sent,potential_receivers,packets_sensed,packets_received,useful_receptions,duplicate_packets,collisions,packets_dropped_delay_or_hop_limit,mean_delay_ms,tx_air_utilization_rate,collision_rate,node_reach,usefulness,no_link_rate,total_directed_links,available_directed_links,unavailable_directed_links,transmissions_per_message,successful_decode_rate,average_nodes_reached_per_message
12,1785436261.741458,552,1800000,100000,6,183,552,6072,823,783,383,400,40,259,3336.638452473031,0.026639928888888904,0.04860267314702309,0.19026328862394437,0.4891443167305236,0.8484848484848485,132,20,112,3.0163934426229506,0.951397326852977,2.092896174863388
12,1785436262.47421,706,1800000,100000,6,189,706,7766,1145,1059,584,475,86,349,4679.718161251915,0.03407208296296298,0.07510917030567686,0.2809042809042809,0.5514636449480642,0.8484848484848485,132,20,112,3.7354497354497354,0.9248908296943231,3.0899470899470898
12,1785436263.0888152,652,1800000,100000,6,184,652,7172,641,631,338,293,10,154,6265.773903565988,0.03146600296296298,0.015600624024960999,0.16699604743083005,0.5356576862123613,0.9242424242424242,132,10,122,3.5434782608695654,0.984399375975039,1.8369565217391304
12,1785436263.760412,627,1800000,100000,6,188,627,6897,860,812,433,379,48,219,4963.967277059585,0.030259484444444457,0.05581395348837209,0.20938104448742748,0.5332512315270936,0.8787878787878788,132,16,116,3.3351063829787235,0.9441860465116279,2.3031914893617023
12,1785436264.415895,653,1800000,100000,6,192,653,7183,1209,1123,575,548,84,363,4936.094855739903,0.03146600296296298,0.06947890818858561,0.2722537878787879,0.5120213713268033,0.8333333333333334,132,22,110,3.4010416666666665,0.9288668320926385,2.9947916666666665
14,1785436265.1348312,783,1800000,100000,6,227,783,10179,1534,1403,656,747,127,499,3821.098149394634,0.032389851428571446,0.08279009126466753,0.22229752626228397,0.46756949394155384,0.8351648351648352,182,30,152,3.449339207048458,0.9146023468057366,2.8898678414096914
14,1785436265.860605,795,1800000,100000,6,234,795,10335,1724,1583,810,773,138,535,4422.059835064914,0.03284488126984129,0.08004640371229699,0.26627218934911245,0.5116866708780796,0.8351648351648352,182,30,152,3.3974358974358974,0.9182134570765661,3.4615384615384617
14,1785436266.648716,999,1800000,100000,6,230,999,12987,1792,1545,843,702,239,523,6346.8146840984455,0.04120088380952384,0.13337053571428573,0.2819397993311037,0.545631067961165,0.8681318681318682,182,24,158,4.343478260869565,0.8621651785714286,3.6652173913043478
14,1785436267.281634,705,1800000,100000,6,232,705,9165,694,674,338,336,20,133,5668.087971827206,0.02916327619047621,0.02881844380403458,0.11206896551724138,0.5014836795252225,0.9230769230769231,182,14,168,3.038793103448276,0.9711815561959655,1.456896551724138
14,1785436267.965514,754,1800000,100000,6,225,754,9802,1267,1184,559,625,83,381,4916.935359446214,0.031190227301587315,0.06550907655880031,0.19111111111111112,0.4721283783783784,0.8791208791208791,182,22,160,3.351111111111111,0.9344909234411997,2.4844444444444442
